iter	Passed	Remaining
0	143	143834
1	144	72242
2	145	48339
3	146	36370
4	146	29194
5	147	24407
6	148	21028
7	148	18469
8	149	16471
9	150	14871
10	150	13568
11	151	12478
12	152	11553
13	152	10762
14	153	10084
15	154	9487
16	154	8953
17	155	8482
18	157	8128
19	158	7775
20	159	7432
21	160	7124
22	161	6840
23	161	6576
24	162	6337
25	163	6115
26	164	5916
27	165	5730
28	165	5555
29	167	5427
30	169	5286
31	170	5149
32	171	5021
33	172	4893
34	172	4767
35	173	4648
36	174	4536
37	174	4429
38	175	4327
39	176	4231
40	176	4138
41	177	4051
42	178	3969
43	179	3891
44	179	3815
45	180	3742
46	181	3672
47	181	3608
48	182	3543
49	183	3493
50	184	3438
51	185	3388
52	186	3332
53	187	3279
54	187	3227
55	188	3178
56	189	3130
57	189	3083
58	190	3038
59	191	2993
60	191	2950
61	192	2911
62	193	2877
63	194	2850
64	195	2812
65	196	2780
66	197	2751
67	198	2722
68	199	2693
69	200	2660
70	200	2628
71	201	2596
72	202	2566
73	202	2537
74	203	2508
75	203	2479
76	204	2452
77	205	2425
78	205	2399
79	206	2375
80	207	2351
81	207	2328
82	208	2301
83	208	2278
84	209	2255
85	210	2233
86	211	2216
87	212	2198
88	212	2179
89	213	2161
90	214	2142
91	215	2122
92	215	2104
93	216	2086
94	217	2067
95	217	2049
96	218	2031
97	218	2014
98	219	1997
99	220	1980
100	220	1963
101	221	1948
102	221	1932
103	222	1917
104	223	1902
105	223	1887
106	224	1876
107	226	1869
108	227	1858
109	228	1847
110	229	1834
111	229	1820
112	230	1808
113	230	1795
114	231	1782
115	232	1771
116	234	1766
117	234	1754
118	235	1743
119	237	1742
120	238	1734
121	239	1723
122	240	1715
123	241	1706
124	242	1695
125	242	1684
126	243	1673
127	243	1662
128	244	1651
129	245	1641
130	245	1630
131	246	1620
132	247	1610
133	247	1600
134	248	1590
135	248	1580
136	249	1571
137	250	1562
138	250	1553
139	251	1544
140	252	1535
141	252	1525
142	253	1517
143	253	1508
144	255	1504
145	256	1497
146	257	1492
147	257	1484
148	258	1476
149	259	1467
150	259	1459
151	260	1451
152	260	1443
153	261	1436
154	262	1430
155	263	1423
156	263	1415
157	264	1408
158	264	1401
159	265	1394
160	266	1386
161	266	1379
162	267	1372
163	268	1366
164	268	1359
165	269	1354
166	270	1349
167	271	1344
168	272	1339
169	273	1333
170	273	1328
171	274	1322
172	275	1316
173	275	1309
174	276	1303
175	277	1297
176	277	1291
177	278	1285
178	278	1279
179	279	1273
180	280	1267
181	280	1261
182	281	1255
183	281	1249
184	282	1243
185	282	1237
186	283	1233
187	284	1229
188	285	1225
189	286	1219
190	286	1214
191	287	1208
192	287	1203
193	288	1198
194	288	1192
195	289	1187
196	290	1182
197	290	1178
198	291	1174
199	292	1169
200	293	1165
201	293	1160
202	294	1156
203	295	1151
204	295	1147
205	296	1142
206	296	1137
207	297	1133
208	298	1129
209	299	1125
210	300	1122
211	300	1118
212	301	1114
213	302	1109
214	302	1105
215	303	1100
216	303	1096
217	304	1092
218	305	1088
219	305	1083
220	306	1080
221	307	1076
222	307	1071
223	308	1067
224	308	1063
225	309	1059
226	309	1055
227	310	1051
228	311	1047
229	311	1044
230	312	1040
231	313	1038
232	314	1034
233	314	1030
234	315	1027
235	316	1023
236	316	1019
237	317	1016
238	317	1012
239	318	1008
240	318	1004
241	319	1000
242	320	997
243	320	993
244	321	989
245	321	985
246	322	981
247	322	978
248	323	974
249	323	971
250	324	968
251	325	964
252	325	961
253	326	958
254	326	954
255	327	952
256	328	950
257	329	947
258	330	944
259	330	941
260	331	938
261	331	934
262	332	931
263	332	928
264	333	924
265	333	921
266	334	918
267	335	915
268	335	911
269	336	908
270	336	905
271	337	902
272	337	899
273	338	896
274	338	893
275	339	890
276	339	887
277	340	884
278	340	881
279	341	878
280	342	876
281	343	874
282	344	871
283	344	868
284	345	865
285	345	862
286	346	859
287	346	857
288	347	854
289	347	851
290	348	848
291	349	846
292	349	843
293	350	840
294	350	838
295	351	835
296	351	832
297	352	830
298	352	827
299	353	824
300	353	821
301	354	819
302	354	816
303	355	814
304	356	811
305	356	808
306	357	807
307	358	805
308	359	803
309	360	801
310	360	799
311	361	796
312	361	794
313	362	791
314	362	789
315	363	786
316	363	784
317	364	781
318	364	778
319	365	776
320	365	773
321	366	771
322	366	768
323	367	766
324	367	764
325	368	761
326	368	759
327	369	756
328	369	754
329	370	752
330	371	750
331	372	748
332	372	747
333	373	744
334	374	742
335	374	740
336	375	737
337	375	735
338	376	733
339	376	731
340	377	728
341	377	726
342	378	724
343	378	722
344	379	719
345	379	717
346	380	715
347	380	713
348	381	710
349	381	708
350	382	706
351	382	704
352	383	702
353	383	700
354	384	698
355	384	696
356	385	694
357	386	692
358	386	690
359	387	688
360	387	686
361	388	684
362	389	682
363	389	680
364	390	678
365	390	676
366	391	674
367	391	672
368	392	670
369	392	668
370	393	666
371	393	664
372	394	662
373	394	660
374	395	658
375	395	656
376	396	654
377	396	652
378	397	650
379	397	648
380	398	646
381	398	644
382	399	643
383	399	641
384	400	639
385	400	637
386	401	635
387	402	634
388	402	632
389	403	630
390	403	629
391	404	627
392	404	625
393	405	623
394	405	621
395	406	619
396	406	618
397	407	616
398	408	614
399	408	612
400	409	610
401	409	609
402	410	607
403	410	605
404	410	603
405	411	601
406	411	600
407	412	598
408	413	596
409	413	595
410	414	593
411	414	591
412	415	590
413	415	588
414	416	587
415	417	586
416	418	584
417	418	582
418	419	581
419	419	579
420	420	577
421	420	576
422	421	574
423	421	572
424	422	571
425	422	569
426	423	567
427	423	566
428	424	564
429	424	562
430	425	561
431	425	559
432	425	557
433	426	556
434	427	554
435	427	553
436	428	551
437	428	550
438	429	548
439	429	547
440	430	545
441	431	544
442	432	543
443	432	541
444	433	540
445	433	538
446	434	537
447	434	535
448	435	534
449	436	532
450	436	531
451	437	529
452	437	528
453	438	527
454	439	525
455	439	524
456	440	523
457	441	521
458	441	520
459	442	519
460	442	517
461	443	516
462	443	514
463	444	513
464	445	512
465	446	511
466	446	510
467	447	508
468	448	507
469	448	505
470	449	504
471	449	503
472	450	501
473	450	500
474	451	498
475	451	497
476	452	496
477	453	494
478	453	493
479	454	492
480	454	490
481	455	489
482	455	488
483	456	486
484	457	485
485	457	484
486	458	482
487	458	481
488	459	480
489	460	478
490	460	477
491	461	476
492	462	475
493	462	474
494	463	472
495	464	471
496	464	470
497	465	468
498	465	467
499	466	466
500	467	465
501	467	464
502	468	462
503	469	461
504	469	460
505	470	459
506	471	458
507	471	456
508	472	455
509	472	454
510	473	453
511	473	451
512	474	450
513	475	449
514	476	448
515	476	447
516	477	446
517	478	444
518	478	443
519	479	442
520	480	441
521	480	440
522	481	438
523	482	438
524	483	437
525	483	436
526	484	434
527	485	433
528	485	432
529	486	431
530	486	429
531	487	428
532	487	427
533	488	426
534	489	425
535	489	423
536	490	422
537	491	421
538	491	420
539	492	419
540	492	418
541	493	417
542	494	415
543	494	414
544	495	413
545	495	412
546	496	411
547	496	409
548	497	408
549	498	407
550	498	406
551	499	405
552	499	403
553	500	402
554	500	401
555	501	400
556	502	399
557	502	398
558	503	396
559	503	395
560	504	394
561	505	393
562	506	392
563	506	391
564	507	390
565	507	389
566	508	388
567	508	387
568	509	385
569	510	384
570	510	383
571	511	382
572	511	381
573	512	380
574	513	379
575	513	378
576	514	377
577	515	376
578	516	375
579	516	374
580	517	372
581	517	371
582	518	370
583	519	369
584	520	368
585	520	368
586	521	366
587	522	365
588	523	364
589	523	363
590	524	362
591	524	361
592	525	360
593	526	359
594	526	358
595	527	357
596	528	356
597	529	355
598	529	354
599	530	353
600	530	352
601	531	351
602	532	350
603	532	349
604	533	348
605	534	347
606	534	346
607	535	345
608	536	344
609	538	344
610	538	342
611	539	341
612	539	340
613	540	339
614	541	338
615	541	337
616	542	336
617	543	335
618	543	334
619	544	333
620	545	332
621	545	331
622	546	330
623	547	329
624	548	329
625	549	328
626	550	327
627	551	326
628	552	325
629	553	324
630	554	324
631	555	323
632	555	322
633	556	321
634	557	320
635	558	319
636	558	318
637	559	317
638	560	316
639	560	315
640	561	314
641	562	313
642	562	312
643	563	311
644	564	310
645	565	309
646	565	308
647	566	307
648	567	306
649	567	305
650	568	304
651	569	303
652	569	302
653	570	301
654	571	300
655	571	299
656	572	298
657	573	297
658	573	296
659	574	295
660	575	294
661	575	293
662	576	292
663	577	291
664	577	290
665	578	290
666	579	289
667	580	288
668	581	287
669	581	286
670	582	285
671	582	284
672	583	283
673	584	282
674	590	284
675	591	283
676	591	282
677	592	281
678	593	280
679	594	279
680	594	278
681	595	277
682	595	276
683	596	275
684	596	274
685	597	273
686	598	272
687	599	271
688	600	271
689	601	270
690	602	269
691	602	268
692	603	267
693	604	266
694	604	265
695	606	264
696	607	263
697	608	263
698	608	262
699	609	261
700	609	260
701	610	259
702	611	258
703	611	257
704	612	256
705	612	255
706	613	254
707	613	253
708	614	252
709	615	251
710	615	250
711	616	249
712	617	248
713	618	247
714	619	246
715	620	246
716	620	245
717	621	244
718	622	243
719	622	242
720	623	241
721	624	240
722	624	239
723	625	238
724	626	237
725	626	236
726	627	235
727	627	234
728	628	233
729	629	232
730	629	231
731	630	230
732	631	229
733	632	229
734	634	228
735	636	228
736	637	227
737	639	226
738	639	225
739	640	225
740	640	224
741	641	223
742	642	222
743	642	221
744	643	220
745	643	219
746	644	218
747	644	217
748	645	216
749	645	215
750	646	214
751	646	213
752	647	212
753	647	211
754	648	210
755	649	209
756	650	208
757	650	207
758	651	206
759	651	205
760	652	204
761	652	203
762	653	202
763	653	201
764	654	201
765	654	200
766	655	199
767	655	198
768	656	197
769	656	196
770	657	195
771	657	194
772	658	193
773	659	192
774	660	191
775	660	190
776	661	189
777	661	188
778	662	187
779	663	187
780	664	186
781	665	185
782	665	184
783	666	183
784	667	182
785	667	181
786	668	180
787	668	179
788	669	178
789	669	178
790	670	177
791	670	176
792	671	175
793	671	174
794	672	173
795	672	172
796	673	171
797	673	170
798	674	169
799	674	168
800	675	167
801	675	166
802	676	165
803	677	165
804	678	164
805	679	163
806	679	162
807	680	161
808	680	160
809	681	159
810	681	158
811	682	157
812	682	157
813	683	156
814	683	155
815	684	154
816	684	153
817	685	152
818	685	151
819	686	150
820	686	149
821	687	148
822	688	147
823	688	147
824	689	146
825	689	145
826	690	144
827	690	143
828	691	142
829	691	141
830	692	140
831	693	140
832	694	139
833	694	138
834	695	137
835	695	136
836	696	135
837	696	134
838	697	133
839	697	132
840	698	131
841	698	131
842	699	130
843	699	129
844	700	128
845	700	127
846	701	126
847	702	125
848	702	124
849	703	124
850	703	123
851	704	122
852	705	121
853	705	120
854	706	119
855	707	118
856	708	118
857	708	117
858	709	116
859	710	115
860	710	114
861	711	113
862	711	112
863	712	112
864	712	111
865	713	110
866	713	109
867	714	108
868	715	107
869	715	106
870	716	106
871	716	105
872	717	104
873	717	103
874	718	102
875	719	101
876	719	100
877	720	100
878	721	99
879	722	98
880	722	97
881	723	96
882	723	95
883	724	95
884	724	94
885	725	93
886	726	92
887	726	91
888	727	90
889	727	89
890	728	89
891	729	88
892	729	87
893	730	86
894	730	85
895	731	84
896	731	84
897	732	83
898	733	82
899	733	81
900	734	80
901	734	79
902	735	79
903	736	78
904	737	77
905	737	76
906	738	75
907	738	74
908	739	74
909	739	73
910	740	72
911	741	71
912	741	70
913	742	69
914	742	69
915	743	68
916	744	67
917	744	66
918	745	65
919	746	64
920	746	64
921	747	63
922	748	62
923	748	61
924	749	60
925	750	59
926	751	59
927	752	58
928	752	57
929	753	56
930	754	55
931	754	55
932	755	54
933	756	53
934	756	52
935	757	51
936	757	50
937	758	50
938	759	49
939	759	48
940	760	47
941	761	46
942	761	46
943	762	45
944	762	44
945	763	43
946	764	42
947	764	41
948	765	41
949	766	40
950	767	39
951	768	38
952	768	37
953	769	37
954	770	36
955	770	35
956	771	34
957	772	33
958	772	33
959	773	32
960	773	31
961	774	30
962	775	29
963	775	28
964	776	28
965	777	27
966	777	26
967	778	25
968	780	24
969	781	24
970	782	23
971	783	22
972	783	21
973	784	20
974	785	20
975	785	19
976	786	18
977	787	17
978	787	16
979	788	16
980	789	15
981	790	14
982	790	13
983	791	12
984	792	12
985	792	11
986	793	10
987	793	9
988	794	8
989	795	8
990	796	7
991	797	6
992	797	5
993	798	4
994	799	4
995	800	3
996	800	2
997	801	1
998	802	0
999	802	0
